model_id,model_name,provider,model_type,parameters_billions,license,context_window,modality,architecture,AIME 2026,EvasionBench,GPQA,GSM8K,HLE,HMMT 2026,MMLU-Pro,OlmOCR,SWE-Pro,SWE-bench Verified,TerminalBench,aggregate_score,coverage_count,coverage_percent
meta-llama-llama-3.1-405b,meta-llama/Llama-3.1-405B,meta-llama,open,405.9,Unknown,0,text,Transformer,,,,96.8,,,,,,,,96.8,1,9.1
microsoft-phi-3-medium-4k-instruct,microsoft/Phi-3-medium-4k-instruct,microsoft,open,14.0,Unknown,0,text,Transformer,,,,91.0,,,,,,,,91.0,1,9.1
qwen-qwen2-72b,Qwen/Qwen2-72B,Qwen,open,72.7,Unknown,0,text,Transformer,,,,89.5,,,,,,,,89.5,1,9.1
microsoft-phi-3.5-mini-instruct,microsoft/Phi-3.5-mini-instruct,microsoft,open,3.8,Unknown,0,text,Transformer,,,,86.2,,,,,,,,86.2,1,9.1
internlm-internlm2_5-7b-chat,internlm/internlm2_5-7b-chat,internlm,open,7.7,Unknown,0,text,Transformer,,,,86.0,,,,,,,,86.0,1,9.1
datalab-to-chandra-ocr-2,datalab-to/chandra-ocr-2,datalab-to,open,5.3,Unknown,0,text,Transformer,,,,,,,,85.9,,,,85.9,1,9.1
microsoft-phi-3-mini-4k-instruct,microsoft/Phi-3-mini-4k-instruct,microsoft,open,3.8,Unknown,0,text,Transformer,,,,85.7,,,,,,,,85.7,1,9.1
deepseek-ai-deepseek-r1-0528,deepseek-ai/DeepSeek-R1-0528,deepseek-ai,open,684.5,Unknown,0,text,Transformer,,,,,,,85.0,,,,,85.0,1,9.1
qwen-qwen3-235b-a22b-thinking-2507,Qwen/Qwen3-235B-A22B-Thinking-2507,Qwen,open,,Unknown,0,text,Transformer,,,,,,,84.4,,,,,84.4,1,9.1
rednote-hilab-dots.mocr,rednote-hilab/dots.mocr,rednote-hilab,open,3.0,Unknown,0,text,Transformer,,,,,,,,83.9,,,,83.9,1,9.1
lightonai-lightonocr-2-1b,lightonai/LightOnOCR-2-1B,lightonai,open,1.0,Unknown,0,text,Transformer,,,,,,,,83.2,,,,83.2,1,9.1
qwen-qwen3-30b-a3b-thinking-2507,Qwen/Qwen3-30B-A3B-Thinking-2507,Qwen,open,30.5,Unknown,0,text,Transformer,87.5,,,,,78.79,,,,,,83.15,2,18.2
datalab-to-chandra,datalab-to/chandra,datalab-to,open,8.8,Unknown,0,text,Transformer,,,,,,,,83.1,,,,83.1,1,9.1
infly-infinity-parser-7b,infly/Infinity-Parser-7B,infly,open,8.3,Unknown,0,text,Transformer,,,,,,,,82.5,,,,82.5,1,9.1
allenai-olmocr-2-7b-1025-fp8,allenai/olmOCR-2-7B-1025-FP8,allenai,open,8.3,Unknown,0,text,Transformer,,,,,,,,82.4,,,,82.4,1,9.1
qwen-qwen3.5-9b,Qwen/Qwen3.5-9B,Qwen,open,9.7,Unknown,0,text,Transformer,92.5,,81.7,,,71.21,82.5,,,,,81.98,4,36.4
deepseek-ai-deepseek-v3-0324,deepseek-ai/DeepSeek-V3-0324,deepseek-ai,open,684.5,Unknown,0,text,Transformer,,,,,,,81.2,,,,,81.2,1,9.1
qwen-qwen3-next-80b-a3b-instruct,Qwen/Qwen3-Next-80B-A3B-Instruct,Qwen,open,81.3,Unknown,0,text,Transformer,,,,,,,80.6,,,,,80.6,1,9.1
paddlepaddle-paddleocr-vl,PaddlePaddle/PaddleOCR-VL,PaddlePaddle,open,1.0,Unknown,0,text,Transformer,,,,,,,,80.0,,,,80.0,1,9.1
qwen-qwen2-7b,Qwen/Qwen2-7B,Qwen,open,7.6,Unknown,0,text,Transformer,,,,79.9,,,,,,,,79.9,1,9.1
baidu-qianfan-ocr,baidu/Qianfan-OCR,baidu,open,4.7,Unknown,0,text,Transformer,,,,,,,,79.8,,,,79.8,1,9.1
internlm-internlm2-chat-20b,internlm/internlm2-chat-20b,internlm,open,19.9,Unknown,0,text,Transformer,,,,79.6,,,,,,,,79.6,1,9.1
deepseek-ai-deepseek-v2,deepseek-ai/DeepSeek-V2,deepseek-ai,open,235.7,Unknown,0,text,Transformer,,,,79.2,,,,,,,,79.2,1,9.1
rednote-hilab-dots.ocr,rednote-hilab/dots.ocr,rednote-hilab,open,3.0,Unknown,0,text,Transformer,,,,,,,,79.1,,,,79.1,1,9.1
meituan-longcat-longcat-flash-lite,meituan-longcat/LongCat-Flash-Lite,meituan-longcat,open,,Unknown,0,text,Transformer,,,,,,,78.29,,,,,78.29,1,9.1
deepseek-ai-deepseek-r1,deepseek-ai/DeepSeek-R1,deepseek-ai,open,684.5,Unknown,0,text,Transformer,,,71.5,,,,84.0,,,,,77.75,2,18.2
jdopensource-joyai-llm-flash,jdopensource/JoyAI-LLM-Flash,jdopensource,open,49.3,Unknown,0,text,Transformer,,,74.43,,,,81.02,,,,,77.72,2,18.2
qwen-qwen3.5-4b,Qwen/Qwen3.5-4B,Qwen,open,4.7,Unknown,0,text,Transformer,,,76.2,,,,79.1,,,,,77.65,2,18.2
deepseek-ai-deepseek-v3,deepseek-ai/DeepSeek-V3,deepseek-ai,open,684.5,Unknown,0,text,Transformer,,,,89.3,,,64.4,,,,,76.85,2,18.2
deepseek-ai-deepseek-ocr-2,deepseek-ai/DeepSeek-OCR-2,deepseek-ai,open,3.4,Unknown,0,text,Transformer,,,,,,,,76.3,,,,76.3,1,9.1
lightonai-lightonocr-1b-1025,lightonai/LightOnOCR-1B-1025,lightonai,open,,Unknown,0,text,Transformer,,,,,,,,76.1,,,,76.1,1,9.1
deepseek-ai-deepseek-ocr,deepseek-ai/DeepSeek-OCR,deepseek-ai,open,3.3,Unknown,0,text,Transformer,,,,,,,,75.7,,,,75.7,1,9.1
opendatalab-mineru2.5-2509-1.2b,opendatalab/MinerU2.5-2509-1.2B,opendatalab,open,1.2,Unknown,0,text,Transformer,,,,,,,,75.2,,,,75.2,1,9.1
arcee-ai-trinity-large-preview,arcee-ai/Trinity-Large-Preview,arcee-ai,open,398.6,Unknown,0,text,Transformer,,,,,,,75.2,,,,,75.2,1,9.1
zai-org-glm-ocr,zai-org/GLM-OCR,zai-org,open,,Unknown,0,text,Transformer,,,,,,,,75.2,,,,75.2,1,9.1
mistralai-mistral-small-4-119b-2603,mistralai/Mistral-Small-4-119B-2603,mistralai,open,119.4,Unknown,0,text,Transformer,,,71.2,,,,78.0,,,,,74.6,2,18.2
qwen-qwen3.5-397b-a17b,Qwen/Qwen3.5-397B-A17B,Qwen,open,403.4,Unknown,0,text,Transformer,93.33,,88.4,,28.7,87.88,87.8,,,76.4,52.5,73.57,7,63.6
lm-provers-qed-nano,lm-provers/QED-Nano,lm-provers,open,4.0,Unknown,0,text,Transformer,82.5,,,,,62.88,,,,,,72.69,2,18.2
moonshotai-kimi-k2.5,moonshotai/Kimi-K2.5,moonshotai,open,1058.6,Unknown,0,text,Transformer,95.83,,87.6,,50.2,87.12,87.1,,50.7,70.8,43.2,71.57,8,72.7
stepfun-ai-step-3.5-flash,stepfun-ai/Step-3.5-Flash,stepfun-ai,open,199.4,Unknown,0,text,Transformer,96.67,,83.5,,23.1,86.36,84.4,,,74.4,51.0,71.35,7,63.6
zai-org-glm-5,zai-org/GLM-5,zai-org,open,753.9,Unknown,0,text,Transformer,95.83,,86.0,,30.5,86.36,,,,72.8,52.4,70.65,6,54.5
fireredteam-firered-ocr,FireRedTeam/FireRed-OCR,FireRedTeam,open,2.1,Unknown,0,text,Transformer,,,,,,,,70.2,,,,70.2,1,9.1
nanonets-nanonets-ocr2-3b,nanonets/Nanonets-OCR2-3B,nanonets,open,,Unknown,0,text,Transformer,,,,,,,,69.5,,,,69.5,1,9.1
qwen-qwen3-4b-thinking-2507,Qwen/Qwen3-4B-Thinking-2507,Qwen,open,4.0,Unknown,0,text,Transformer,82.5,,65.8,,,53.03,74.0,,,,,68.83,4,36.4
qwen-qwen3.5-27b,Qwen/Qwen3.5-27B,Qwen,open,27.8,Unknown,0,text,Transformer,90.83,,85.5,,24.3,81.06,86.1,,,72.4,41.6,68.83,7,63.6
qwen-qwen3.5-35b-a3b,Qwen/Qwen3.5-35B-A3B,Qwen,open,36.0,Unknown,0,text,Transformer,93.33,,84.2,,22.4,81.82,85.3,,,69.2,40.5,68.11,7,63.6
moonshotai-kimi-k2-instruct-0905,moonshotai/Kimi-K2-Instruct-0905,moonshotai,open,1026.5,Unknown,0,text,Transformer,,66.68,,,,,,,,,,66.68,1,9.1
gair-openswe-72b,GAIR/OpenSWE-72B,GAIR,open,72.7,Unknown,0,text,Transformer,,,,,,,,,,66.0,,66.0,1,9.1
qwen-qwen3-4b-instruct-2507,Qwen/Qwen3-4B-Instruct-2507,Qwen,open,4.0,Unknown,0,text,Transformer,,,62.0,,,,69.6,,,,,65.8,2,18.2
deepseek-ai-deepseek-v3.2,deepseek-ai/DeepSeek-V3.2,deepseek-ai,open,685.4,Unknown,0,text,Transformer,94.17,66.88,82.4,,40.8,84.09,85.0,,15.56,70.0,39.6,64.28,9,81.8
zai-org-glm-4.7,zai-org/GLM-4.7,zai-org,open,358.3,Unknown,0,text,Transformer,,82.91,85.7,,24.8,,84.3,,,73.8,33.4,64.15,6,54.5
qwen-qwen3.5-122b-a10b,Qwen/Qwen3.5-122B-A10B,Qwen,open,125.1,Unknown,0,text,Transformer,,,86.6,,25.3,,86.7,,,72.0,49.4,64.0,5,45.5
nvidia-nvidia-nemotron-3-super-120b-a12b-bf16,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16,nvidia,open,123.6,Unknown,0,text,Transformer,90.0,,79.23,,18.26,84.85,83.73,,,53.73,31.0,62.97,7,63.6
gair-openswe-32b,GAIR/OpenSWE-32B,GAIR,open,32.8,Unknown,0,text,Transformer,,,,,,,,,,62.4,,62.4,1,9.1
moonshotai-kimi-k2-thinking,moonshotai/Kimi-K2-Thinking,moonshotai,open,1058.1,Unknown,0,text,Transformer,,,84.5,,23.9,,84.6,,,71.3,35.7,60.0,5,45.5
minimaxai-minimax-m2.5,MiniMaxAI/MiniMax-M2.5,MiniMaxAI,open,228.7,Unknown,0,text,Transformer,,,85.2,,19.4,,,,55.4,75.8,,58.95,4,36.4
lgai-exaone-k-exaone-236b-a23b,LGAI-EXAONE/K-EXAONE-236B-A23B,LGAI-EXAONE,open,237.1,Unknown,0,text,Transformer,,,79.1,,13.6,,83.8,,,,,58.83,3,27.3
nvidia-nemotron-cascade-2-30b-a3b,nvidia/Nemotron-Cascade-2-30B-A3B,nvidia,open,31.6,Unknown,0,text,Transformer,,,76.1,,17.7,,79.8,,,,,57.87,3,27.3
qwen-qwen3.5-2b,Qwen/Qwen3.5-2B,Qwen,open,2.3,Unknown,0,text,Transformer,,,,,,,55.3,,,,,55.3,1,9.1
meta-llama-llama-3.1-8b-instruct,meta-llama/Llama-3.1-8B-Instruct,meta-llama,open,8.0,Unknown,0,text,Transformer,,,30.4,84.5,,,48.3,,,,,54.4,3,27.3
facebook-cwm,facebook/cwm,facebook,open,32.6,Unknown,0,text,Transformer,,,,,,,,,,53.9,,53.9,1,9.1
minimaxai-minimax-m2.1,MiniMaxAI/MiniMax-M2.1,MiniMaxAI,open,228.7,Unknown,0,text,Transformer,,71.31,,,22.2,,88.0,,36.81,74.0,29.2,53.59,6,54.5
meituan-longcat-longcat-flash-thinking-2601,meituan-longcat/LongCat-Flash-Thinking-2601,meituan-longcat,open,561.9,Unknown,0,text,Transformer,,,80.5,,25.2,,,,,,,52.85,2,18.2
swe-lego-swe-lego-qwen3-32b,SWE-Lego/SWE-Lego-Qwen3-32B,SWE-Lego,open,0.0,Unknown,0,text,Transformer,,,,,,,,,,52.6,,52.6,1,9.1
snurfyai-sn-logicer-0.8b,SnurfyAI/Sn-Logicer-0.8B,SnurfyAI,open,0.8,Unknown,0,text,Transformer,,,,50.57,,,,,,,,50.57,1,9.1
qwen-qwen3-coder-next,Qwen/Qwen3-Coder-Next,Qwen,open,79.7,Unknown,0,text,Transformer,,,,,,,,,44.3,70.6,36.2,50.37,3,27.3
zai-org-glm-4.7-flash,zai-org/GLM-4.7-Flash,zai-org,open,31.2,Unknown,0,text,Transformer,,,75.2,,14.4,,,,,59.2,,49.6,3,27.3
minimaxai-minimax-m2,MiniMaxAI/MiniMax-M2,MiniMaxAI,open,228.7,Unknown,0,text,Transformer,,,,,12.5,,82.0,,,69.4,30.0,48.48,4,36.4
nanbeige-nanbeige4.1-3b,Nanbeige/Nanbeige4.1-3B,Nanbeige,open,3.9,Unknown,0,text,Transformer,,,83.8,,12.6,,,,,,,48.2,2,18.2
qwen-qwen3-coder-480b-a35b-instruct,Qwen/Qwen3-Coder-480B-A35B-Instruct,Qwen,open,480.2,Unknown,0,text,Transformer,,78.16,,,,,,,38.7,,23.9,46.92,3,27.3
nvidia-nvidia-nemotron-3-nano-30b-a3b-bf16,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16,nvidia,open,31.6,Unknown,0,text,Transformer,,,,,15.5,,78.3,,,,,46.9,2,18.2
nvidia-nvidia-nemotron-3-nano-30b-a3b-fp8,nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8,nvidia,open,31.6,Unknown,0,text,Transformer,,,,,10.2,,78.1,,,,,44.15,2,18.2
swe-lego-swe-lego-qwen3-8b,SWE-Lego/SWE-Lego-Qwen3-8B,SWE-Lego,open,0.0,Unknown,0,text,Transformer,,,,,,,,,,42.2,,42.2,1,9.1
liquidai-lfm2.5-1.2b-instruct,LiquidAI/LFM2.5-1.2B-Instruct,LiquidAI,open,1.2,Unknown,0,text,Transformer,,,38.89,,,,44.35,,,,,41.62,2,18.2
tiiuae-falcon-h1r-7b,tiiuae/Falcon-H1R-7B,tiiuae,open,,Unknown,0,text,Transformer,,,,,11.1,,72.1,,,,,41.6,2,18.2
miromind-ai-mirothinker-v1.5-235b,miromind-ai/MiroThinker-v1.5-235B,miromind-ai,open,235.1,Unknown,0,text,Transformer,,,,,39.2,,,,,,,39.2,1,9.1
nvidia-nemotron-orchestrator-8b,nvidia/Nemotron-Orchestrator-8B,nvidia,open,,Unknown,0,text,Transformer,,,,,37.1,,,,,,,37.1,1,9.1
openai-gpt-oss-120b,openai/gpt-oss-120b,openai,open,120.4,Unknown,0,text,Transformer,,,67.1,,5.2,,,,16.2,47.9,,34.1,4,36.4
openai-gpt-oss-20b,openai/gpt-oss-20b,openai,open,21.5,Unknown,0,text,Transformer,,,56.8,,4.2,,,,,37.4,,32.8,3,27.3
miromind-ai-mirothinker-v1.5-30b,miromind-ai/MiroThinker-v1.5-30B,miromind-ai,open,30.5,Unknown,0,text,Transformer,,,,,31.0,,,,,,,31.0,1,9.1
moonshotai-kimi-k2-instruct,moonshotai/Kimi-K2-Instruct,moonshotai,open,1026.5,Unknown,0,text,Transformer,,,,,,,,,27.67,,27.8,27.73,2,18.2
nvidia-nemotron-terminal-32b,nvidia/Nemotron-Terminal-32B,nvidia,open,32.8,Unknown,0,text,Transformer,,,,,,,,,,,27.4,27.4,1,9.1
xiaomimimo-mimo-v2-flash,XiaomiMiMo/MiMo-V2-Flash,XiaomiMiMo,open,309.8,Unknown,0,text,Transformer,,,,,22.1,,,,,,,22.1,1,9.1
qwen-qwen3-235b-a22b,Qwen/Qwen3-235B-A22B,Qwen,open,235.1,Unknown,0,text,Transformer,,,,,,,,,21.41,,,21.41,1,9.1
qwen-qwen3.5-0.8b,Qwen/Qwen3.5-0.8B,Qwen,open,0.9,Unknown,0,text,Transformer,,,11.9,,,,29.7,,,,,20.8,2,18.2
nvidia-nemotron-terminal-14b,nvidia/Nemotron-Terminal-14B,nvidia,open,14.8,Unknown,0,text,Transformer,,,,,,,,,,,20.2,20.2,1,9.1
openbmb-agentcpm-explore,openbmb/AgentCPM-Explore,openbmb,open,4.0,Unknown,0,text,Transformer,,,,,19.1,,,,,,,19.1,1,9.1
zai-org-glm-4.6,zai-org/GLM-4.6,zai-org,open,356.8,Unknown,0,text,Transformer,,,,,,,,,9.67,,24.5,17.09,2,18.2
nvidia-nemotron-terminal-8b,nvidia/Nemotron-Terminal-8B,nvidia,open,8.2,Unknown,0,text,Transformer,,,,,,,,,,,13.0,13.0,1,9.1
google-gemma-3-27b-it,google/gemma-3-27b-it,google,open,27.4,Unknown,0,text,Transformer,,,,,,,,,11.38,,,11.38,1,9.1
meta-llama-llama-3.1-405b-instruct,meta-llama/Llama-3.1-405B-Instruct,meta-llama,open,405.9,Unknown,0,text,Transformer,,,,,,,,,11.18,,,11.18,1,9.1
helpingai-dhanishtha-2.0-0126,HelpingAI/Dhanishtha-2.0-0126,HelpingAI,open,14.8,Unknown,0,text,Transformer,,,,,9.92,,,,,,,9.92,1,9.1
meta-llama-llama-4-maverick-17b-128e-instruct,meta-llama/Llama-4-Maverick-17B-128E-Instruct,meta-llama,open,401.6,Unknown,0,text,Transformer,,,,,,,,,5.24,,,5.24,1,9.1
